ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,2,overlap-15,Impossible,17.54939,115.1197,14.84625
0,2,overlap-45,Impossible,7.314836,92.73376,7.047758
0,2,overlap-75,Possible,2.764926,93.33076,6.212471
0,3,overlap-15,Impossible,2.151195,91.18107,3.565399
0,3,overlap-15,Impossible,3.30361,89.22668,4.751346
0,2,overlap-45,Possible,6.484669,102.0987,3.859066
0,3,overlap-60,Possible,2.145744,95.08572,2.7611
0,1,overlap-15,Impossible,2.013483,107.2093,3.329308
0,1,overlap-30,Impossible,8.911304,116.7596,2.848677
0,3,overlap-15,Impossible,2.718128,96.21832,2.772723
0,2,overlap-75,Possible,2.626225,111.1391,2.929925
0,1,overlap-15,Impossible,1.924804,105.7521,4.062923
0,1,overlap-0,Impossible,2.607684,118.1495,2.521323
0,1,overlap-0,Impossible,4.563424,103.1087,2.290337
0,1,overlap-60,Possible,2.240213,123.072,1.875046
0,2,overlap-0,Impossible,2.417726,113.1814,5.403226
0,3,overlap-0,Impossible,2.68652,121.8958,3.752206
0,1,overlap-45,Possible,2.215019,130.9063,2.951748
0,1,overlap-60,Possible,2.596988,113.7273,2.541678
0,3,overlap-45,Possible,1.501763,118.6853,2.544085
0,1,overlap-30,Impossible,3.326816,128.7001,1.060048
0,2,overlap-75,Possible,2.169044,123.9457,10.61625
0,1,overlap-15,Impossible,2.750006,125.1595,1.356432
0,2,overlap-0,Impossible,4.760679,127.0658,3.737428
0,2,overlap-75,Possible,1.732296,118.0785,3.693412
0,1,overlap-30,Impossible,2.672754,120.7516,3.431699
0,1,overlap-45,Possible,7.255859,95.60058,5.934025
0,1,overlap-0,Impossible,3.611669,102.7467,2.363265
0,3,overlap-45,Impossible,2.138959,126.5553,2.011304
0,1,overlap-30,Possible,2.238643,116.4758,2.192785
0,1,overlap-60,Possible,2.525184,125.6205,1.296708
0,1,overlap-15,Impossible,2.07625,117.2044,2.333035
0,2,overlap-15,Impossible,2.155421,110.0793,2.377235
0,3,overlap-15,Impossible,2.134003,119.5674,2.308338
0,2,overlap-60,Possible,2.357642,113.4399,2.727633
0,1,overlap-15,Impossible,3.138531,116.8234,0.8930929
0,3,overlap-45,Possible,2.935415,123.7958,2.17388
0,3,overlap-75,Possible,5.055295,123.6336,1.87575
0,1,overlap-75,Possible,2.566305,131.1258,3.828954
0,2,overlap-15,Impossible,2.955429,110.3303,2.408947
0,2,overlap-75,Impossible,1.498715,114.8473,2.827204
0,2,overlap-45,Possible,2.617849,97.22709,2.35544
0,1,overlap-30,Possible,1.466717,125.2599,2.073616
0,2,overlap-60,Impossible,1.687811,122.4107,2.90286
0,2,overlap-30,Possible,3.879802,121.9916,2.03786
0,3,overlap-60,Impossible,2.278103,124.9145,1.021074
0,2,overlap-30,Possible,2.036221,111.792,1.638136
0,1,overlap-0,Impossible,1.693304,121.0389,1.744884
0,3,overlap-30,Possible,1.42233,122.4723,2.446504
0,2,overlap-45,Impossible,1.814537,109.4519,2.895449
0,3,overlap-60,Impossible,1.161556,114.2503,2.404844
0,1,overlap-45,Impossible,2.219576,102.1775,3.036564
0,3,overlap-75,Impossible,2.297966,120.2851,3.793671
0,1,overlap-60,Impossible,2.126436,121.1218,2.264953
0,3,overlap-0,Possible,2.241399,123.9529,1.786826
0,3,overlap-30,Impossible,2.41404,130.3036,0.9633784
0,2,overlap-15,Possible,1.548658,126.4984,1.630153
0,2,overlap-30,Impossible,1.544045,142.899,0.7300177
0,1,overlap-75,Impossible,2.482771,117.1059,1.905055
0,2,overlap-30,Possible,1.527631,119.1313,1.463799
0,3,overlap-60,Impossible,1.20429,129.3913,1.603481
0,1,overlap-75,Possible,3.699118,94.47887,3.61009
0,2,overlap-45,Impossible,2.97739,105.9589,4.22168
0,3,overlap-0,Possible,2.527084,113.6675,3.981613
0,2,overlap-60,Impossible,2.204967,109.4954,2.970125
0,2,overlap-30,Possible,3.287879,114.2206,1.637258
0,3,overlap-0,Possible,2.318964,106.5659,2.47473
0,3,overlap-75,Possible,4.082789,122.2076,1.314324
0,1,overlap-75,Impossible,1.326682,109.0137,1.044252
0,2,overlap-0,Impossible,2.784127,114.4113,5.20829
0,3,overlap-0,Possible,1.18636,115.9373,0.8936344
0,1,overlap-45,Impossible,1.286118,118.9282,1.477393
0,3,overlap-30,Impossible,4.739687,109.9911,2.489065
0,2,overlap-0,Possible,2.828135,138.0316,0.9401277
0,3,overlap-45,Possible,2.259996,119.7929,1.478056
0,3,overlap-75,Impossible,1.721179,131.7182,2.604094
0,3,overlap-30,Possible,1.469055,76.40188,5.774286
0,3,overlap-30,Possible,1.886177,98.11485,2.530511
0,2,overlap-60,Impossible,1.916743,104.8153,2.463282
0,2,overlap-60,Possible,2.512951,83.07252,3.878478
0,1,overlap-0,Impossible,2.586296,102.6541,4.989796
0,3,overlap-75,Impossible,1.976808,123.5126,2.186386
0,2,overlap-15,Possible,1.82424,102.6794,1.044937
0,1,overlap-60,Impossible,2.283204,84.79621,2.606825
0,1,overlap-45,Impossible,1.666347,87.72922,3.293998
0,3,overlap-15,Possible,1.455431,90.2152,3.116546
0,2,overlap-0,Possible,1.913945,81.07439,5.577317
0,1,overlap-75,Impossible,1.510083,85.11487,6.128929
0,3,overlap-45,Impossible,2.028529,81.53249,4.401202
