ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,1,overlap-45,Possible,58.90744,-2.498314,46.79393
0,1,overlap-15,Possible,11.80639,265.2313,14.72072
0,3,overlap-15,Possible,23.34596,224.5365,11.78836
0,3,overlap-15,Possible,2.660992,190.0407,6.482624
0,2,overlap-45,Possible,10.74976,199.2172,11.85798
0,1,overlap-0,Possible,3.618679,151.962,5.627225
0,2,overlap-0,Possible,2.909377,213.5027,26.73147
0,1,overlap-30,Impossible,6.250362,236.8861,11.19475
0,3,overlap-45,Impossible,4.616654,263.7488,10.37964
0,3,overlap-30,Possible,4.38263,192.8261,1.127565
0,1,overlap-75,Impossible,4.257046,262.678,6.503806
0,1,overlap-0,Possible,3.695738,192.9775,6.243494
0,3,overlap-75,Impossible,2.471744,331.2291,3.838425
0,2,overlap-30,Possible,2.411051,237.0219,3.703695
0,2,overlap-30,Possible,2.299392,239.5531,2.228109
0,2,overlap-45,Possible,2.496845,201.923,5.285146
0,2,overlap-75,Impossible,1.609344,237.2625,1.527082
0,2,overlap-15,Possible,2.226814,238.4967,2.64325
0,1,overlap-30,Possible,2.155527,261.7186,2.73412
0,1,overlap-60,Impossible,1.792632,235.8464,2.139595
0,1,overlap-15,Possible,4.123488,193.1531,1.859085
0,3,overlap-75,Impossible,2.429362,303.1851,2.835614
0,3,overlap-60,Impossible,3.965795,261.5527,1.942751
0,3,overlap-60,Impossible,1.709745,248.0423,1.371366
0,2,overlap-75,Impossible,1.821441,307.7122,1.983034
0,3,overlap-75,Impossible,1.066607,355.7636,2.198336
0,1,overlap-60,Possible,2.188849,256.0476,2.213585
0,3,overlap-45,Possible,1.785672,243.2866,0.6431699
0,1,overlap-0,Possible,2.910132,131.0282,3.597515
0,3,overlap-0,Possible,2.735379,203.6364,1.633086
0,1,overlap-0,Possible,2.658303,149.7505,2.281995
0,1,overlap-30,Possible,2.401057,165.5768,1.652723
0,2,overlap-75,Impossible,1.731393,215.5614,6.072568
0,1,overlap-45,Impossible,3.536189,198.3808,3.716358
0,3,overlap-60,Impossible,7.462258,291.5991,7.616591
0,1,overlap-15,Possible,1.630381,178.2231,1.656991
0,2,overlap-30,Possible,1.953229,215.8281,1.720419
0,3,overlap-0,Possible,2.153465,192.3865,2.297564
0,2,overlap-0,Possible,2.448605,215.1009,2.430548
0,1,overlap-30,Impossible,3.213621,202.138,1.618263
0,2,overlap-0,Possible,2.056884,221.2953,2.699788
0,1,overlap-60,Impossible,2.936293,249.1849,1.405123
0,1,overlap-0,Possible,2.041901,247.3357,0.7926704
0,3,overlap-15,Possible,3.055839,176.1847,0.8381125
0,3,overlap-60,Impossible,1.294774,264.5745,1.513365
0,1,overlap-15,Possible,2.626398,204.6301,0.1369218
0,1,overlap-75,Impossible,3.228533,194.1221,2.978754
0,1,overlap-75,Possible,3.474594,168.0618,1.495484
0,3,overlap-45,Impossible,2.078078,237.948,1.268332
0,2,overlap-15,Possible,2.465679,201.7838,1.758755
0,3,overlap-75,Impossible,1.025949,333.9041,1.77587
0,1,overlap-45,Impossible,1.007124,261.5741,0.8186678
0,3,overlap-30,Impossible,5.08878,237.4329,1.448919
0,1,overlap-60,Impossible,2.217169,298.2415,1.288634
0,3,overlap-75,Impossible,2.467578,355.5778,3.465277
0,3,overlap-15,Impossible,1.938125,252.4986,2.911428
0,1,overlap-30,Possible,4.68422,145.551,4.520625
0,3,overlap-45,Impossible,1.857047,308.1197,4.429568
0,1,overlap-45,Possible,2.636585,217.0648,1.208827
0,2,overlap-60,Possible,1.075657,143.3012,1.282264
0,2,overlap-60,Possible,1.953151,135.7255,0.4881158
0,1,overlap-15,Possible,0.9769462,173.2036,1.236208
0,3,overlap-0,Possible,1.871614,177.5296,0.4203529
0,3,overlap-0,Possible,2.123134,187.3024,0.756848
0,2,overlap-0,Possible,1.809712,211.1249,0.6834192
0,1,overlap-60,Impossible,5.616303,187.5764,2.402408
0,2,overlap-0,Possible,1.933041,184.1817,0.8568006
0,1,overlap-45,Possible,3.995431,168.4312,0.9756752
0,2,overlap-45,Possible,3.832718,197.8569,2.114994
0,2,overlap-45,Possible,2.441573,180.2463,0.890408
0,2,overlap-60,Impossible,2.874567,248.3647,1.722991
0,2,overlap-75,Possible,3.760489,165.5927,1.508954
0,2,overlap-45,Impossible,2.289287,194.2053,1.364254
0,2,overlap-15,Possible,1.209791,133.9418,0.5571981
0,2,overlap-75,Possible,1.835938,134.0805,0.5905637
0,2,overlap-30,Impossible,2.80899,210.8596,0.8731892
0,3,overlap-30,Impossible,1.578176,211.7105,2.709526
0,3,overlap-15,Impossible,1.218986,193.2475,1.837978
0,1,overlap-75,Impossible,3.403148,232.5305,1.727615
0,3,overlap-60,Impossible,2.896097,301.3783,1.635632
0,2,overlap-15,Possible,0.8792359,167.924,1.766115
0,3,overlap-45,Impossible,2.323095,271.315,2.5879
0,2,overlap-60,Impossible,1.87507,183.6978,1.392239
0,2,overlap-30,Possible,3.112851,167.7607,1.064064
0,3,overlap-30,Impossible,1.930498,213.3676,0.7317494
0,1,overlap-75,Impossible,0.8913759,235.2745,2.739215
0,3,overlap-30,Impossible,3.056159,226.4263,1.36646
0,2,overlap-60,Impossible,2.069442,240.8897,0.9197174
0,3,overlap-0,Possible,2.009191,165.0492,1.238008
0,2,overlap-15,Possible,3.840863,171.0598,1.831874
