ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,3,overlap-30,Possible,29.02433,170.8691,12.37719
0,3,overlap-75,Possible,7.216517,206.787,8.79102
0,3,overlap-15,Possible,3.509473,218.0886,11.16165
0,2,overlap-75,Possible,3.895888,226.3268,6.164551
0,3,overlap-60,Possible,11.36982,188.852,19.64676
0,3,overlap-45,Possible,5.798388,211.4902,4.376545
0,1,overlap-60,Possible,3.993805,207.4725,5.657069
0,1,overlap-45,Possible,2.643105,202.4192,2.435577
0,2,overlap-0,Possible,3.954811,206.6042,5.003022
0,2,overlap-75,Possible,3.593345,174.9532,4.218517
0,3,overlap-0,Possible,2.472525,174.5709,3.21323
0,2,overlap-15,Possible,2.233913,189.6379,2.49605
0,1,overlap-45,Possible,2.467404,191.6818,2.203262
0,1,overlap-45,Possible,2.595197,180.0943,2.38177
0,1,overlap-15,Possible,1.386516,182.041,2.259958
0,2,overlap-60,Possible,2.379058,167.9727,3.095186
0,2,overlap-15,Possible,6.722331,168.3317,1.727633
0,3,overlap-0,Possible,2.473228,160.7147,3.20054
0,2,overlap-75,Possible,2.053317,155.6689,1.780112
0,2,overlap-15,Possible,1.391852,158.2853,1.850416
0,3,overlap-60,Possible,1.821847,155.8527,2.021028
0,1,overlap-15,Impossible,2.711615,160.9595,1.810077
0,3,overlap-60,Impossible,2.187771,209.6689,2.277989
0,1,overlap-60,Impossible,1.671396,162.948,2.215353
0,2,overlap-0,Possible,2.881887,182.9489,2.573882
0,2,overlap-45,Impossible,3.226112,175.0843,1.424904
0,2,overlap-45,Impossible,1.947018,199.882,2.219724
0,1,overlap-60,Impossible,3.196176,235.166,2.267082
0,1,overlap-15,Possible,2.09854,198.2568,1.829604
0,3,overlap-45,Possible,3.389774,187.2161,1.861761
0,2,overlap-60,Impossible,4.544976,194.2908,2.533633
0,2,overlap-45,Impossible,3.233447,201.6581,0.5978254
0,1,overlap-75,Possible,2.238535,168.8473,0.9585936
0,2,overlap-30,Possible,1.751039,198.3071,1.512887
0,1,overlap-75,Impossible,3.610656,205.4602,2.313606
0,1,overlap-0,Possible,1.540519,160.2288,2.159461
0,2,overlap-30,Impossible,3.306539,159.0825,2.14484
0,2,overlap-60,Impossible,4.334774,168.0659,0.975705
0,3,overlap-0,Possible,1.597565,161.1534,1.217073
0,1,overlap-0,Possible,1.73316,193.6666,2.58807
0,1,overlap-30,Impossible,3.318921,169.0739,4.136744
0,2,overlap-15,Impossible,4.594849,185.7756,1.31177
0,1,overlap-0,Possible,2.631793,201.3348,1.056678
0,3,overlap-0,Impossible,3.328567,195.7921,1.581213
0,1,overlap-45,Impossible,3.794529,188.2234,2.379139
0,2,overlap-0,Impossible,1.878987,220.8845,1.134658
0,2,overlap-45,Impossible,2.275606,210.2678,3.14414
0,1,overlap-15,Possible,3.31221,172.3225,1.407978
0,2,overlap-0,Possible,2.932314,176.7491,1.22829
0,2,overlap-75,Impossible,4.322644,210.758,2.331751
0,3,overlap-30,Possible,2.885964,181.5367,1.126588
0,2,overlap-30,Impossible,2.177675,214.0942,1.051693
0,3,overlap-30,Impossible,3.616827,196.2195,1.189817
0,2,overlap-15,Impossible,2.132594,161.4121,0.7352112
0,1,overlap-75,Possible,2.04272,199.554,1.890785
0,3,overlap-75,Impossible,2.779133,197.6609,0.9104549
0,1,overlap-75,Impossible,2.022032,201.3107,0.7431591
0,3,overlap-75,Impossible,1.842607,198.7673,1.132029
0,3,overlap-30,Impossible,2.150381,190.4774,0.928542
0,3,overlap-60,Impossible,1.720269,221.125,0.5943255
0,2,overlap-45,Impossible,2.861929,180.8097,0.7681354
0,1,overlap-30,Impossible,2.293821,199.654,0.4914466
0,1,overlap-75,Impossible,1.480783,185.6722,1.070243
0,3,overlap-15,Impossible,1.668871,174.7482,0.6144374
0,1,overlap-30,Possible,2.177824,162.2596,0.7371147
0,1,overlap-60,Impossible,1.579562,179.2567,0.9992895
0,3,overlap-75,Impossible,1.740329,190.1502,0.6376753
0,2,overlap-0,Possible,2.073872,197.1808,1.086596
0,3,overlap-30,Impossible,2.653961,177.2194,0.0317369
0,1,overlap-0,Possible,2.833544,272.231,0.9284275
0,1,overlap-30,Impossible,2.067037,167.0667,1.0983
0,2,overlap-30,Impossible,1.538303,129.2602,0.5196576
0,1,overlap-45,Impossible,1.458851,197.072,1.252632
0,3,overlap-45,Impossible,1.54539,152.5627,0.6199365
0,3,overlap-15,Impossible,2.442181,167.5337,0.8846095
0,3,overlap-15,Possible,2.693851,154.3079,0.7991863
0,3,overlap-75,Impossible,3.681362,214.0316,1.182806
0,3,overlap-15,Impossible,1.773292,190.7012,0.8809956
0,3,overlap-45,Impossible,3.339066,178.0809,0.6288327
0,3,overlap-60,Impossible,1.274488,186.6842,0.7618892
0,1,overlap-60,Impossible,1.458056,181.787,0.7012855
0,1,overlap-15,Possible,1.720344,137.6799,0.8533674
0,3,overlap-45,Impossible,2.116275,187.3646,1.631518
0,2,overlap-30,Impossible,2.032431,177.8177,0.4731663
0,1,overlap-0,Possible,2.437957,164.0881,1.421501
0,2,overlap-60,Impossible,2.458789,208.0359,1.461734
0,1,overlap-30,Impossible,1.281391,161.5727,0.5450427
0,2,overlap-60,Impossible,1.843658,174.8741,0.6726587
0,3,overlap-0,Possible,2.100415,176.2007,1.380083
0,2,overlap-75,Impossible,1.582222,179.5385,0.7330518
