ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,3,overlap-75,Possible,23.32552,429.2806,25.58944
0,2,overlap-45,Possible,19.53966,324.4702,11.03353
0,1,overlap-45,Possible,1.988832,331.3062,8.635247
0,1,overlap-45,Possible,2.935895,339.3875,7.971603
0,1,overlap-75,Possible,1.644756,385.0966,7.334106
0,3,overlap-45,Possible,2.389709,354.8687,6.452497
0,3,overlap-15,Possible,1.439701,208.4072,3.110873
0,2,overlap-75,Possible,1.615168,452.01,5.459716
0,2,overlap-15,Possible,1.296894,236.7605,6.080989
0,1,overlap-30,Possible,3.023143,335.2279,7.482909
0,1,overlap-15,Possible,1.212383,207.7424,7.682535
0,2,overlap-15,Possible,2.322331,215.383,3.503997
0,2,overlap-0,Possible,1.145281,181.4234,3.608897
0,2,overlap-45,Possible,1.326873,319.2856,3.576236
0,3,overlap-45,Possible,1.566941,326.113,4.089804
0,3,overlap-45,Possible,1.87091,308.078,2.422302
0,2,overlap-45,Possible,1.130126,279.4592,5.512326
0,1,overlap-75,Possible,1.610658,393.7171,4.676406
0,2,overlap-0,Possible,2.160981,171.9113,0.2237571
0,3,overlap-15,Possible,2.234322,220.4208,3.046756
0,3,overlap-60,Possible,33.57511,243.8431,12.67875
0,3,overlap-0,Possible,2.28919,178.4087,5.809918
0,2,overlap-60,Possible,2.058056,305.8387,5.026705
0,2,overlap-60,Possible,2.949902,327.8342,2.563684
0,1,overlap-15,Possible,2.323542,305.683,3.378945
0,2,overlap-75,Impossible,14.29429,401.414,11.50163
0,2,overlap-30,Possible,5.04496,313.9846,5.83899
0,3,overlap-60,Impossible,1.496667,471.0591,4.842051
0,1,overlap-45,Possible,1.716378,353.5013,2.521826
0,1,overlap-75,Impossible,1.33009,392.9129,6.139218
0,1,overlap-0,Possible,2.431494,156.1999,3.448053
0,2,overlap-30,Possible,2.9703,283.2682,4.30831
0,3,overlap-0,Possible,2.675688,190.2078,3.170946
0,2,overlap-0,Possible,1.228548,115.1447,3.412231
0,1,overlap-30,Possible,1.220231,228.3016,1.707214
0,1,overlap-45,Possible,1.482737,324.559,3.587977
0,3,overlap-45,Possible,2.620651,312.2891,3.688763
0,2,overlap-30,Possible,1.798845,275.7254,2.964066
0,1,overlap-15,Possible,1.858573,176.2214,2.84973
0,1,overlap-60,Impossible,2.80958,454.8571,6.667456
0,2,overlap-15,Possible,2.447581,164.1904,4.553089
0,3,overlap-30,Possible,1.195387,294.4676,2.997325
0,3,overlap-0,Possible,1.581853,173.3965,2.849203
0,3,overlap-75,Impossible,2.832899,458.5528,4.421643
0,1,overlap-0,Possible,1.327897,170.6208,2.996612
0,3,overlap-60,Possible,8.016362,353.6714,3.852183
0,1,overlap-30,Possible,1.316834,266.561,2.550489
0,2,overlap-45,Possible,2.145876,332.4819,3.99107
0,2,overlap-45,Possible,1.320027,355.611,2.32195
0,3,overlap-75,Impossible,1.310947,396.4754,5.736225
0,2,overlap-75,Impossible,1.413843,468.8946,2.967898
0,2,overlap-30,Possible,1.733769,265.222,2.108849
0,3,overlap-30,Possible,1.823789,267.2426,2.108919
0,2,overlap-0,Possible,1.801041,170.0678,2.680401
0,1,overlap-0,Possible,2.633457,126.6003,5.321259
0,2,overlap-75,Impossible,1.339806,411.5762,2.158036
0,2,overlap-60,Possible,1.655522,354.1383,3.214338
0,1,overlap-15,Possible,1.568023,217.2141,1.693042
0,1,overlap-75,Impossible,1.036337,394.3371,3.82623
0,2,overlap-60,Possible,2.715753,329.0772,2.367981
0,3,overlap-60,Impossible,1.357521,439.2782,2.986215
0,3,overlap-15,Possible,1.640413,214.989,2.020095
0,2,overlap-0,Possible,1.085691,153.6131,2.848722
0,1,overlap-45,Possible,1.288008,321.7311,1.584819
0,2,overlap-15,Possible,2.642778,217.1369,4.512567
0,1,overlap-30,Possible,1.778639,253.3814,2.656203
0,3,overlap-0,Possible,1.14671,205.243,2.077701
0,3,overlap-15,Possible,1.293865,225.6143,1.70525
0,1,overlap-60,Impossible,1.595437,464.2149,3.117823
0,1,overlap-60,Impossible,1.415742,398.0437,3.408504
0,3,overlap-15,Possible,1.018621,260.8104,1.673245
0,1,overlap-60,Impossible,2.509277,426.0948,1.74044
0,1,overlap-0,Possible,1.162625,209.0044,1.661492
0,2,overlap-30,Possible,1.278266,287.0553,1.105907
0,1,overlap-0,Possible,1.305836,190.1493,2.713426
0,1,overlap-75,Impossible,2.526024,430.7087,1.59291
0,3,overlap-60,Impossible,1.586649,461.7866,2.609668
0,1,overlap-15,Possible,2.66547,240.9079,1.327904
0,3,overlap-45,Possible,1.244666,360.6432,1.852618
0,3,overlap-75,Impossible,0.9844816,422.0023,2.017955
0,3,overlap-0,Possible,1.831017,201.0383,1.592034
0,3,overlap-30,Possible,1.104418,264.2347,1.771776
0,3,overlap-30,Possible,1.82186,325.213,1.541786
0,1,overlap-60,Impossible,2.530938,413.42,2.077731
0,1,overlap-30,Possible,0.968293,311.3812,1.582623
0,3,overlap-75,Impossible,2.048069,410.8091,3.52284
0,2,overlap-15,Possible,3.215979,244.126,1.271748
0,2,overlap-75,Impossible,1.217525,444.5125,2.358002
0,3,overlap-30,Possible,2.264078,284.9342,1.276909
0,2,overlap-60,Possible,0.8768686,352.5717,1.793921
