ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,2,overlap-45,Possible,5.53465,393.2363,5.607861
0,2,overlap-60,Possible,2.516431,322.8538,10.277
0,1,overlap-30,Possible,3.147134,362.3877,1.416901
0,3,overlap-0,Possible,1.696849,228.4546,1.644245
0,3,overlap-15,Possible,1.724834,216.9917,1.936815
0,1,overlap-30,Possible,1.754329,211.4113,3.720238
0,2,overlap-60,Possible,1.68931,206.3241,1.213898
0,2,overlap-45,Possible,1.722544,266.6576,6.640604
0,2,overlap-75,Possible,2.5514,306.5962,2.231036
0,2,overlap-60,Possible,1.854539,285.1704,2.791872
0,1,overlap-75,Possible,1.797643,272.961,2.25304
0,1,overlap-75,Possible,5.994298,228.4426,2.019871
0,1,overlap-60,Possible,1.755687,255.724,2.324168
0,2,overlap-30,Possible,1.484418,233.2859,2.216691
0,3,overlap-30,Possible,1.803844,274.7195,3.146983
0,2,overlap-75,Possible,1.803509,237.6004,2.382921
0,1,overlap-60,Possible,2.090745,230.4578,2.706191
0,1,overlap-0,Possible,1.955906,189.8647,2.60905
0,3,overlap-45,Possible,1.900988,214.2036,2.748768
0,1,overlap-15,Possible,1.881492,189.9211,2.450784
0,3,overlap-60,Impossible,5.576366,286.384,4.29704
0,3,overlap-0,Possible,1.403996,216.8141,2.261029
0,2,overlap-0,Possible,1.824566,184.9251,2.307749
0,1,overlap-0,Possible,1.609269,189.4382,3.439383
0,2,overlap-75,Impossible,1.445351,174.8092,4.020749
0,2,overlap-15,Possible,1.736908,183.282,3.186386
0,1,overlap-30,Possible,2.524716,188.2388,1.713213
0,3,overlap-15,Possible,1.979283,155.4503,1.838098
0,1,overlap-45,Impossible,3.619051,185.5109,1.399223
0,1,overlap-60,Impossible,1.418259,160.6649,2.665012
0,2,overlap-0,Possible,1.73794,157.036,0.961471
0,1,overlap-45,Impossible,1.250948,177.5694,1.651555
0,3,overlap-45,Possible,1.580597,154.9288,1.817321
0,2,overlap-30,Possible,1.465887,151.4349,1.373732
0,2,overlap-75,Impossible,3.06161,152.9019,2.402455
0,2,overlap-60,Impossible,1.37184,161.5786,2.143222
0,2,overlap-15,Possible,2.545864,154.1105,2.175651
0,3,overlap-15,Possible,1.359734,174.9854,1.457561
0,2,overlap-15,Possible,3.682802,204.691,1.355342
0,1,overlap-15,Possible,2.157971,169.2166,2.220276
0,1,overlap-0,Possible,2.295363,185.0165,1.347071
0,3,overlap-60,Impossible,1.115237,183.6307,2.090621
0,3,overlap-15,Impossible,3.506802,131.8692,1.914811
0,1,overlap-45,Impossible,2.24207,137.0222,2.234208
0,3,overlap-75,Impossible,1.288864,152.0696,2.03753
0,3,overlap-75,Impossible,1.730533,162.8812,1.562813
0,1,overlap-45,Impossible,1.708302,141.9238,1.147605
0,1,overlap-15,Impossible,1.559738,143.4042,2.042829
0,3,overlap-0,Possible,2.771787,169.9762,1.423332
0,1,overlap-15,Possible,3.504237,150.3074,1.512377
0,2,overlap-30,Impossible,3.687319,149.0299,2.110446
0,1,overlap-30,Possible,2.178259,152.1405,2.768957
0,2,overlap-0,Possible,4.504937,126.5704,2.11975
0,3,overlap-30,Impossible,1.903713,148.5867,3.402589
0,2,overlap-0,Possible,1.768037,138.1723,1.985177
0,2,overlap-30,Impossible,5.174308,154.6874,2.081378
0,2,overlap-45,Impossible,1.143271,148.5543,2.155888
0,3,overlap-30,Impossible,1.986034,137.5765,1.551994
0,3,overlap-45,Impossible,2.966693,177.2523,1.791225
0,1,overlap-75,Impossible,3.577081,151.8748,2.582969
0,1,overlap-0,Possible,1.138176,162.5151,2.927011
0,1,overlap-60,Impossible,2.199754,150.2047,1.95333
0,1,overlap-60,Impossible,2.205025,162.8558,1.725587
0,2,overlap-45,Impossible,2.001302,156.0975,1.260906
0,3,overlap-0,Possible,2.74204,176.4672,1.28686
0,1,overlap-0,Possible,2.185772,139.5747,3.375576
0,3,overlap-30,Possible,1.946226,171.6242,1.437206
0,3,overlap-30,Possible,3.472719,154.4114,1.323897
0,2,overlap-15,Possible,2.589438,193.2822,1.886912
0,3,overlap-60,Impossible,1.653555,182.8935,1.952486
0,1,overlap-15,Possible,2.493351,154.1743,2.774929
0,2,overlap-15,Possible,5.166175,146.1526,1.630042
0,2,overlap-75,Impossible,2.875719,153.604,1.753538
0,3,overlap-60,Impossible,1.071916,146.8571,1.866491
0,3,overlap-75,Impossible,1.889963,150.6828,4.236063
0,3,overlap-75,Impossible,1.141513,166.7608,1.43514
0,3,overlap-15,Possible,3.505225,145.3594,2.255282
0,2,overlap-45,Possible,2.255298,186.0283,1.405373
0,3,overlap-45,Impossible,4.34454,216.3584,1.450256
0,3,overlap-0,Possible,6.508274,168.7653,1.72884
0,1,overlap-75,Impossible,3.298174,183.0714,2.490525
0,3,overlap-60,Impossible,2.871781,136.6452,2.529504
0,3,overlap-75,Impossible,1.188002,165.7315,2.551471
0,3,overlap-45,Possible,2.634278,166.9646,1.414972
0,2,overlap-60,Possible,3.98244,164.0512,1.545977
0,2,overlap-0,Possible,1.819218,143.0944,2.082972
0,1,overlap-75,Impossible,1.889448,186.5257,1.535829
0,1,overlap-30,Possible,1.936333,157.3409,1.640603
0,1,overlap-45,Impossible,3.58866,186.0643,1.994483
0,2,overlap-30,Possible,1.655813,148.1191,2.281369
